job,company,city,salary,work_experience,age,education,work_type,contract,email,phone_number,job_descr,links,posted_date,deadline
Biznesin İnkişafı İdarəsinin Tərəfdaş şəbəkəsinin idarə edilməsi şöbəsinin mütəxəssisi,Xalq Bank,Bakı,Müsahibə əsasında,2 il,22 — 47,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunuhb,,"https://qlor.me/m6ewzuewcsTəsvir· Banka yeni tərəfdaşlar cəlb olunması üçün tədbirlər görmək və onlarla əlaqələri idarə etmək;· Tərəfdaşlarla xüsusi əməkdaşlıq şərtlərinin tətbiqinə dair danışıqların aparılması və təməkdaşlığın təşkili;· Mövcud və yeni cəlb olnumuş müştərilərə Bankın ekvayrinq xidmətlərinin satışını həyata keçirmək;· Bankın loyallıq proqramının icrası və inkişaf etdirilməsi üzrə zəruri tədbirlərin həyata keçirilməsi;· Potensial müştərilərlə görüşlərin və bank məhsullarının təqdimatının keçirilməsi;· Tərəfdaş şirkətlərin əməkdaşlıq şərtlərinə əməl etməsinə dair nəzarətin həyata keçirilməsi.Tələblər· Maliyyə, menecment, iqtisadiyyat, idarəetmə istiqaməti üzrəmagistrtəhsilin olması;· Ən azı 2 il bankda, müvafiq sahədə iş təcrübəsi;· Təhlil etmə və hesabatların hazırlanması bacarıqları;· Microsoft Office proqramlarından istifadə bacarığı;· Komanda işini bacarmalı və bankın digər funskional strukturları ilə işləmək bacarığı;· Ünsiyyətcil, təşəbbüskar, yüksək təqdimat bacarığı;· İşdə dəqiqlik və detallara fikirvermə qabiliyyəti;· Azərbaycan dilini mükəmməl səviyyədə bilmək.Uyğun başlıqlarBiznesin İnkişafı",https://www.offer.az/biznesin-inkisafi-idaresinin-xalq-bank-2-vakansiya-2025-60750/,27/01/2025,27/02/2025
Kopirayter (Baş mütəxəssis),Aztelekom MMC,Bakı,Müsahibə əsasında,3 il,24 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,link elanda qeyd olunub,,"https://qlor.me/m6auatqw3lTəsvirHədəflənmiş auditoriyaya və marketinq məqsədlərinə təsirli şəkildə çatmaq üçün kontent strategiyalarının hazırlanması və tətbiq edilməsiBloqlar, veb saytlar, video və sosial media da daxil olmaqla müxtəlif platformalar üçün məzmun yaradılmasıReklam mətnlərini, şüarlarını yazmaq, adaptasiya (Rus və Eng) və redaktə etməkSEO yönümlü mətn və bloqların yazılmasıDüzgün yazı və qrammatika qaydalarına riayət etməkMəzmun məqsədlərini düşünmək və müəyyənləşdirmək üçün dizayn komandası ilə mütəmadi əməkdaşlıqŞirkətin veb saytının mövcud vəziyyətin təhlili və təkmilləşdirilməsiRəqiblərin rəqəmsal platformalarda fəaliyyətini araşdırmaqKontent kalendarların mütəmadi olaraq idarə edilməsi və kontentin aidiyyatı rəqəmsal platformalarda yer aldığından əmin olunmasıKontent trendlərini, müştəri tələblərini və kontent üzrə yeni texnologiyaların gündəlik olaraq izlənilməsi və tətbiq edilməsiTələblərAli təhsilMüvafiq sahədə (corporate, reklam agentliyi) üzrə minimum 3 il iş təcrübəsiCMS-lərdə işləmə bacarığıMicrosoft Office, SEO alətləri (SemRush və s.) ilə işləmə bacarığıAzərbaycan dili – ana dili, İngilisi dili – əla, Rus dili – yaxşıSüni intellektlə işləmə bacarığıOperativlik, dəqiqlik və yüksək icraçı bacarığıAnalitik düşünmə və araşdırma qabiliyyətinin olmasıTexnoloji yeniliklər barədə məlumatlı olmaq üstünlükdürKomanda ilə işləmə bacarığı.Uyğun başlıqlarKopirayter",https://www.offer.az/kopirayter-64-vakansiya-2025-60749/,27/01/2025,28/02/2025
Qrafika üzrə dizayner,İctimai Televiziya və Radio Yayımları Şirkəti,Bakı,Müsahibə əsasında,1 il,21 — 47,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6aujx9pfmTəsvirŞirkətin təqdim etdiyi məlumatın vizual olaraq cəlbedici təqdim edilməsini təmin edir;Orijinal məzmunun dizaynı və platformada yerləşdirilməsi;Surətin və illüstrativ materialın ölçüsünü və düzülməsini, həmçinin şrift üslubunu və ölçüsünü müəyyən etmək;Razılaşdırılmış brifinq əsasında materialın təxmini layihələrini hazırlanmaq;Son planları nəzərdən keçirmək və lazım olduqda təkmilləşdirmələr təklif etmək;Dizayn və proqram təminatı tendensiyalarından xəbərdar olmaq;Dizayn yaratmaq üçün rəqəmsal illüstrasiyadan, foto redaktə proqramından və tərtibat proqramından istifadə etmək;Sifarişlər əsasında proqramların qrafik paketini (başlıq, arakəsmə, titr altı və s.) hazırlamaq;Bayram və xüsusi günlərdə tələb olunan mövzularda qrafik sifarişləri icra etmək.TələblərQrafik dizayner, Rəqəmsal dizayn sahələrində biliklər;Adobe After Effect, 3Ds, 3Ds MAX, Cinema 4D, Blender, Illustrator, Photoshop, Adobe Premiere, proqramlarında işləmə bacarığı.Unikal, maraqlı və cəlbedici dizaynlar yarada bilmə bacarığı;Detallara diqqətli yanaşmaq;Tənqidi qəbul etmə bacarığı;Geniş yaradıcılıq layihələri ilə iş portfeli.Uyğun başlıqlarQrafik dizayner",https://www.offer.az/qrafika-uzre-dizayner-vakansiya-2025-60748/,27/01/2025,27/02/2025
"Mikro kreditlər üzrə mütəxəssis/aparıcı mütəxəssis (Xaçmaz, Bərdə, Mingəçevir filialları)",Expressbank ASC,Bakı,Müsahibə əsasında,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6ertdxch1TəsvirKredit bazarını təhlil edir və sahibkarlıq fəaliyyəti ilə məşğul olan fiziki və hüquqi şəxsləri cəlb edir;Mikro kreditlər üzrə sifarişləri qəbul edir, kreditləri bankın daxili prosedur və qaydalarına uyğun verilməsi və sənədləşdirilməsi üçün sənədləri toplayır;Mikro kreditlərin təhlil edilməsi, maliyyə hesabatlarının hazırlanması, girovun qiymətləndirilməsi məqsədilə ilkin monitorinq keçirir;Kredit memorandumunu tərtib edir və digər sənədlərlə birgə kredit komitəsinin müzakirəsinə çıxarılması üçün Qrup rəhbərinə və ya Koordinatora təqdim edir;Kredit verilməsinə müsbət rəy alındıqda kredit məlumatlarını ABİS-ə daxil edilməsi üçün müvafiq əməkdaşa təqdim edir;Kredit müqaviləsi və ödəniş cədvəli üzrə borcların vaxtında ödənilməsini təmin edir;Müqavilə şərtlərini pozmuş müştərilərlə daimi iş aparır və borcların ödənilməsi istiqamətində tədbirlər görür.TələblərAli təhsil;Mikro kreditlərin verilməsi sahəsində minimum 1 il iş təcrübəsiTəhliletmə qabiliyyəti və ünsiyyətqurma bacarığı;Microsoft Office proqramlarını istifadəçi səviyyəsində bilmək;Azərbaycan dilində sərbəst danışıq qabiliyyəti;Ünsiyyətqurma və komandada işləmək bacarığı.Uyğun başlıqlarmal",https://www.offer.az/mikro-kreditler-uzre-mutexessis-expressbank-asc-vakansiya-2025-60747/,27/01/2025,27/02/2025
Tibbi Nümayəndə,Salus Pharma,Bakı,Müsahibə əsasında,1 il,21 — 45,"Natamam ali təhsil (bakalavr), Orta və ya orta ixtisas təhsili",Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6ao2yvamvTəsvirŞirkətin məhsullarını tibb müəssisələrində və apteklərdə tanıtmaqHəftəlik və aylıq hesabatların hazırlanmasıSatış dinamikasının izlənilməsi və təhliliŞirkətdə verilmiş təlimatları, tapşırıqları vaxtında və dəqiq yerinə yetirməkŞirkətin məhsulları barədə ətraflı məlumat verilməsi, təlabat yaradılması və satışının təşkil edilməsiTələblərAli təhsil və ya orta tibb təhsilSəlis və aydın nitq, sistemli təqdimat bacarığıRəsmi və səliqəli geyim tərzi.Dürüst, məsuliyyətli,dəqiq,yüksək icraçılıq bacarığıHərəkətli iş rejimində və kollektivdə işləmə bacarığıUyğun başlıqlarTibbi nümayəndə",https://www.offer.az/tibbi-numayende-52-vakansiya-2025-60746/,27/01/2025,27/02/2025
Planlama üzrə Menecer,Matanat A,Bakı,Müsahibə əsasında,5 il,30 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6alqqeys3TəsvirSifariş tələblərini təhlil edərək istehsalat prioritetlərini müəyyənləşdirmək.İstehsalat proseslərinin qısa və uzunmüddətli planlarını hazırlamaq.Məhsul istehsalı üçün tələb olunan resursların (materiallar, işçi qüvvəsi, avadanlıq) ehtiyaclarını müəyyənləşdirmək.Proseslərin icrası zamanı vaxtında dəyişikliklər edərək istehsalatın davamlılığını təmin etmək.Resursların optimal istifadəsini təmin etmək və israfın qarşısını almaq.Materialların tədarükü və sifarişlərinin izlənilməsi.Tədarük komandası ilə əməkdaşlıq edərək material ehtiyatlarının kifayət qədər olmasını və vaxtında çatdırılmasını təmin etmək.Avadanlıqların əlçatanlığını izləmək və dayanma hallarının qarşısını almaq üçün texniki xidmət işlərini koordinasiya etmək.İstehsalat proseslərindəki zəif nöqtələri müəyyənləşdirmək və məhsuldarlığı artırmaq üçün təkliflər irəli sürmək.İstehsalatın planlaşdırılmasında avtomatlaşdırma və rəqəmsallaşdırma layihələrinə dəstək vermək.İstehsalat göstəricilərinə dair hesabatların hazırlanması və rəhbərliyə təqdim edilməsi.Məlumatların analitik sistemlərdə emal edilməsi və gələcək planların qurulması üçün istifadə olunması.İstehsalat performansına aid əsas göstəriciləri (KPI) izləmək (istehsal həcmi, vaxtında çatdırılma, məhsuldarlıq və s.).İstehsal performansı ilə bağlı hesabatlar hazırlamaq və rəhbərliyə təqdim etmək.Planlaşdırılmış və faktiki istehsalat arasındakı fərqləri təhlil edərək düzəldici tədbirlər görmək.İstehsalat qrafikindəki potensial riskləri müəyyənləşdirərək onları minimuma endirmək üçün tədbirlər görmək.İstehsalat xərclərini izləmək və keyfiyyəti qoruyaraq xərclərin azaldılması təşəbbüslərini həyata keçirmək.İsrafın azaldılması və məhsuldarlığın artırılması üçün planlama proseslərini inkişaf etdirməkTələblərSənaye mühəndisliyi, istehsalat, əməliyyatların idarə olunması və ya müvafiq sahədə bakalavr dərəcəsi.Magistr dərəcəsi və ya APICS CPIM kimi sertifikatlar üstünlük təşkil edir.İstehsalat planlaması, istehsal və ya tədarük zəncirinin idarə olunması sahəsində minimum 5 illik iş təcrübəsi.Güclü analitik düşüncə və problem həll etmə bacarıqları.İstehsalat planlaması və idarəetmə səhəsində avtomatlaşdırma və rəqəmsallaşdırma texnologiyalarından anlayış.MS Office proqramları və ERP sistemlərində işləmə bacarığı.İngilis dili bilikləri üstünlük təşkil edir.Müqavilələrin idarə olunması və tədarük zənciri prosesləri barədə anlayış.İstehsalatda risk idarəetməsi və proses optimizasiyası sahəsində bilik.Əmək haqqıNamizədin bilik, bacarıq və təcrübəsinə əsasən qarşılıqlı razılıq əsasında təyin olunacaqdır.İş şəraiti:İş saatı: 09-00-dan 18-00-dək;İstirahət: Şənbə və bazar günü;İş yeri: Luxen Plaza;Korporativ nömrə verilir.Uyğun başlıqlarplanlama",https://www.offer.az/planlama-uzre-menecer-vakansiya-2025-60745/,27/01/2025,28/02/2025
Full Stack Developer in CRM and BPM Development Unit,AccessBank,Bakı,Müsahibə əsasında,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6es8bf4uzTəsvirDeliver solutions for business process automation, digital collaboration and customer engagementDevelopment of new and revision of the existing functionality of Creatio/Bpm’online according to business requirements.Integration of CRM with other systems of the company (Core Banking and other).Unit testing of software and developed functionality under project tasks.Analysis and correction of errors.Documenting your own code and describing it in the IT knowledge base.Influence and create new designs and architectures in a range of emerging technologiesContribution to automated build processTələblər4+ years of professional hands-on experience of the full SDLC of enterprise application developmentExperience with the Creatio platform (formerly BPMOnline)Proficiency in the .Net stack: C#, SQL Server, IIS, MVC, Web APIProficiency with frontend JavaScript, JQuery, Angular or similarExperience in workflow solutions automation in platforms such as MS Sharepoint, MS Teams, MS Power Automate, JIRA, Appian, Nintex is an advantagFamiliarity with Agile/Kanban SDLC practicesUnderstanding and demonstrated proficiency with core software development processes – debugging, code tuning, code management and branching, coding styles and refactoringBuild management, code management, debugging and code optimizationOpen-source contributionDevOps implementation experienceExperience with SOA and Micro-ServicesUyğun başlıqlarFull Stack Developer",https://www.offer.az/full-stack-developer-in-crm-and-bpm-development-unit-vakansiya-2025-60744/,27/01/2025,28/02/2025
Satış təmsilçisi,AZ Dizayn Group,Bakı,Müsahibə əsasında,1 il,20 — 35,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,hr@az-dizayn.az,,"Namizədə olan tələblər:Orta təhsil (Bakalavr üstünlükdür)Ünsiyyət qabiliyyətMəsuliyyətlilikTəqdim etmə bacarığıSəbirlilikHesablama bacarığıYaş – 20-35İş təcrübəsi vacib deyil, iş öyrədilir.İş haqqında məlumat:Müştərinin qarşılanması, məhsullarla bağlı məlumatlandırılmasıMüştəri məhsulu bəyəndikdən sonra sifarişin qəbul olunmasıSifarişin sistemə daxil edilməsiQaimənin hazırlanması və müştəriyə təqdim edilməsiMəhsulların üzərinə qiymət və endirim kağızlarının yerləşdirilməsi və yenilənməsiİş şəraiti:6 günlük iş həftəsi ;Əmək Məcəlləsinə əsasən sənədləşmə;Əmək haqqı : müsahibə əsasında (fix +%)Vakansiyaya müraciət üçün CV-ləri “Satış təmsilçisi” başlığı iləhr@az-dizayn.aze-mail ünvanına göndərməyiniz xahiş olunur.Uyğun başlıqlarMicrosoft OfficeSatışSatış təmsilçisi",https://www.offer.az/satis-temsilcisi-206-vakansiya-2025-60742/,27/01/2025,23/02/2025
Audiometrist (Otomed),Kontakt Home,Bakı,800 — 1000 ₼,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub.,,"Müraciət üçün linkə daxil olunhttps://qlor.me/m6cnnmp00cTəsvirAudiometriya müayinəsinin aparılması (eşitmə müayinəsinin etmək);Müştəriyə uyğun eşitmə cihazının təyin olunması;Eşitmə cihazlarının satışının icra edilməsi;İş saatları: 5 gün 10:00– 8:00; 6-cı gün 10:00- 14:00;Əmək haqqı: 800-1000 Azn;TələblərAli tibb təhsili (Lor Həkiminin olması arzuolunandır);Müvafiq sahədə iş təcrübəsi arzuolunandır;Məsulliyyət, düzgünlük, dəqiqlik və etibarlılıq kimi müsbət göstəricilərə malik olmalıdır;Dil bilikləri -Azərbaycan dili səlis, Rus dili biliyi arzuolunandır.Uyğun başlıqlarAudiometristHəkimTibb",https://www.offer.az/audiometrist-otomed-3-vakansiya-2025-60741/,27/01/2025,23/02/2025
Ödəniş Kartları İdarəsinin Ekvayrinq şöbəsinin mütəxəssisi (E-ticarət üzrə),Xalq Bank,Bakı,Müsahibə əsasında,1 il,21 — 55,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6elxvxwpkTəsvirPOS-Terminal və virtual terminallar üzrə layihələrin idarə edilməsində iştirak, texniki tapşırıqların yazılması/təhlil edilməsi;POS-Terminallar və virtual terminallar üzrə problemli əməliyyatların təhlili;POS-Terminallara və virtual terminallara aid analitik hesabatların hazırlanması və təqdim edilməsi;Yeni məhsulların araşdırılması və xidmətlərin təkmilləşdirilməsi ilə bağlı müvafiq işlərin aparılması;İdarə daxili digər şöbələr tərəfindən aparılan layihələrə dəstək;Ödəniş təchizatçılarının məhsulları üzrə təkliflərin hazırlanması;Ödəniş təşkilatları ilə iş, daxil olan sorğuların və yaranan çətinliklərin həll edilməsində dəstək.TələblərMaliyyə, İqtisadiyyat, Menecment təhsili (və ya ona bərabər tutulan təhsil səviyyəsi);Hərbi xidməti bitirən və ya hərbi xidmətdən möhlət hüququ olan (oğlanlar üçün);Bank və ya bank olmayan kredit təşkilatında təcrübə arzuolunandır;Ekvayrinq və elektron ticarət sahəsində iş təcrübəsi. Müasir ödəniş sistemləri və texnologiyalarının işləmə prinsiplərini anlama;QR kodları ilə iş və onların emalı prinsiplərini bilmək;İT və məlumat bazaları üzrə baza biliklərə sahib olmaq;Ekvayrinq proseslərində problemləri aşkar etmək və həll etmək bacarığı;Maliyyə xidmətləri və ödənişlər sahəsində qanunvericiliyi anlamaq;Təhlükəsizlik və məlumatların qorunması tələblərini bilmək;Yenilikləri intensiv və dərindən mənimsəmə bacarığı, analitik zəkaya malik olmaq;Riyazi hesablama aparmaq qabiliyyəti;Stressə davamlılıq və kollektivdə işləmək bacarığı;İşdə dəqiqlik və detallara fikir vermə qabiliyyəti.Uyğun başlıqlarBankMaliyyə",https://www.offer.az/od%c9%99nis-kartlari-idar%c9%99sinin-ekvayrinq-sob%c9%99sinin-mut%c9%99x%c9%99ssisi-e-ticar%c9%99t-uzr%c9%99-vakansiya-2025-60740/,27/01/2025,27/02/2025
Ödəniş Kartları İdarəsinin Ekvayrinq şöbəsinin mütəxəssisi (innovativ həllərlə iş),Xalq Bank,Bakı,Müsahibə əsasında,1 il,21 — 55,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6emu4thw3TəsvirEkvayrinq şöbəsi daxilində yeni texnologiyaların tətbiqi ilə bağlı müvafiq proqram təminatlarının tətbiqi və işləməsi;Ekvayrinq üzrə mövcud sistem və proseslərin optimallaşdırılması;Vendor və ya ödəniş sistemləri ilə layihələrdə iştirak, texniki tələblərin təhlili, innovativ həllərin təhlili və tətbiq edilməsi;Məlumatların təhlil edilməsi üçün müvafiq hesabatların hazırlanması;Biznes ehtiyacların və texniki tələblərin təhlil edilməsi.Tələblərİnformasiya texnologiyaları, iqtisadiyyat, maliyyə və ya oxşar ixtisaslar üzrə ali təhsil;Hərbi xidməti bitirən və ya hərbi xidmətdən möhlət hüququ olan (oğlanlar üçün);Ekvayrinq, ödəniş texnologiyaları və ya maliyyə xidmətləri sahəsində iş təcrübəsi;Proqramlaşdırma və proqram təminatının işlənməsi üzrə baza biliklər;Ödənişlər sahəsində innovativ həllər və tendensiyalar haqqında bilik;Ödəniş sistemlərinin API və inteqrasiyası ilə iş təcrübəsi;Riyazi hesablama aparmaq qabiliyyəti;Stressə davamlılıq və kollektivdə işləmək bacarığı;İşdə dəqiqlik və detallara fikir vermə qabiliyyəti.Uyğun başlıqlarBankMaliyyə",https://www.offer.az/odenis-kartlari-idaresinin-ekvayring-sobesinin-vakansiya-2025-60739/,27/01/2025,27/02/2025
İş icraçısı (Təmir bərpa tikinti xidməti/Biləcəri qəsəbəsi üzrə),Azərbaycan Dəmir Yolları QSC,Bakı,Müsahibə əsasında,3 il,25 — 55,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6emx1z4fwTəsvirSahənin istehsal təsərrüfat fəaliyyətinə rəhbərlik etmək;Mütamadi ölkədaxili ezam olunmaq;Müəyyən edilmiş vaxt ərzində obyektlərin verilməsi planını və tikinti quraşdırma işlərinin kəmiyyət və keyfiyyət göstəricilərinə əsasən yerinə yetirilməsini, layihə sənədlərinə, tikinti norma və qaydalarına, texniki şərtlərə və başqa normativ sənədlərə əməl olunmasını təmin etmək;İşin mexanikiləşdirilməsi səviyyəsinin yüksəldilməsini, yeni texnikanın tətbiqini, əməyin təşkilinin təkmilləşdirilməsini, tikinti quraşdırma işlərinin maya dəyərinin aşağı salınmasını, materialların qənaətlə işlədilməsini həyata keçirtmək;Əməyin qabaqcıl üsul və metodlarının yayılması üzrə iş aparmaq;Görülmüş işlərin uçotunu aparmaq, texniki sənədləşməni tərtib etmək;Sifarişçilərin tamamlanmış tikinti obyektləri üzrə komplekslərin və ayrı-ayrı hissələrin təhvil verilməsində iştirak etmək;Qorunan (mühafizə olunan) sahələrdə işlərin görülməsinə verilən icazəni rəsmiləşdirmək;Ustalar üçün tikinti quraşdırma işlərinin həcmi üzrə istehsalat tapşırıqlarını müəyyən etmək, onların yerinə yetirilməsinə nəzarət etmək;Təhlükəsiz metodlarla işləmək üçün bilavasitə iş yerlərində fəhlələrə təlimat vermək;Texnoloji avadanlıqlardan (nərdivanlar, körpülər, müdafiə ləvazimatı və s. qurğular) enerji qurğularından, nəqliyyat vasitələri və işçiləri qoruma vasitələrindən istifadəni təmin etmək;Ağırlığın qaldırılması normalarına, iş yerlərində keçid və giriş yollarında səliqə və qaydaya, kranaltı yolların düzgün saxlanılması və istismar olunmasına, iş yerlərinin təhlükəsizlik işarələri ilə təmin olunmasına riayət etməyə nəzarət etmək;Obyektdə anbar təsərrüfatı və maddi sərvətlərin qorunmasını təşkil etmək;Təhlükəsizlik texnikasının vəziyyətini yoxlamaq, aşkar edilmiş qüsurların aradan qaldırılmasının və istehsalat sanitariyası qaydalarının pozulmasının qarşısını almaq;İşçilər tərəfindən əmək mühafizəsi təlimatına riayət edilməsi üçün tədbirlər görmək;İşçilərin istehsal və əmək intizamına riayət etmələrini təmin etmək;Gündəlik iş rejimi (08:00-17:00)TələblərTəhsil səviyyəsi: ali (mühəndislik, tikinti mühəndisliyi, və ya digər müvafiq sahə);İş təcrübəsi: müvafiq sahə üzrə ən az 3 il;Tikinti təşkilatlarının istehsal-texnoloji komplektləşdirilməsi sistemi;Əməyin və idarəetmənin əsasları;Tikinti quraşdırma işlərinin aparılması qaydaları;Tikinti istehsalatının təşkili və texnologiyasınının əsasları;Sahə və briqada təsərrüfat hesabi metodları;Əməyin mühafizəsi, təhlükəsizlik texnikası, istehsalat sanitariyası və yanğından mühafizə norma və qaydaları;Qərar vermə bacarığı;Başqalarını motivasiya etmə;İşin idarə edilməsi və ölçülməsi;Dil bilikləri: Rus dili (yaxşı səviyyədə);Kompüter bilikləri: Microsoft Office (yaxşı səviyyədə).Uyğun başlıqlarTəmir - Tikinti",https://www.offer.az/is-icracisi-5-vakansiya-2025-60738/,27/01/2025,27/02/2025
Daxili auditor,MJ Finance MMC,Bakı,Müsahibə əsasında,3 il,25 — 35,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,hr@mjfinance.az,Anar bəy,"Vəzifə öhdəlikləri:Bütün növ BOKT əməliyyatlarının və BOKT-də mövcud olan bütün risklərin auditini aparmaq;BOKT-un maliyyə resurslarının planlaşdırılmasının və onun icra olunmasının auditini aparmaq;Aktivlərin idarəedilməsi və xərclərin effektivliyini qiymətləndirmək;Maliyyə hesabatlarının dəqiqliyini və etibarlığını qiymətləndirmək;Boşluqları aşkar etmək və risklərin qarşısının alınması üzrə tədbirləri tövsiyyə etmək;Mühasibat sənədlərini, əvvəlki hesabatları, məlumatları, sxemləri və s. qəbul etmək, təhlil etmək və qiymətləndirmək;Audit zamanı aşkar edilmiş problemlər haqqında yekun qərar qəbul edilməsi üçün araşdırmaq;Audit müşahidəsi, tövsiyələr və müəyyən edilmiş tədbirlərin yer aldığı hesabatları tərtib etmək;Beynəlxalq daxili audit standartlarına uyğun olaraq audit layihələrini icra etmək və ya idarə etmək.Tələblər:Maliyyə, iqtisadiyyat üzrə ali təhsil;Maliyyə və ya audit üzrə beynəlxalq sertifikat;Daxili audit, risklərin idarəolunması, daxili nəzarət və oxşar sahələrdə minimum 3 il iş təcrübəsi. Bank və ya BOKT sahəsində iş təcrübəsinin olması üstünlükdür;Müvafiq sahəyə aid olan Azərbaycan Respublikasının qüvvədə olan qanunvericiliyinin tələblərini, eləcə də BOKT daxili normatıv sənədləri (qayda, təlimatlar, siyəsətlər və s.) bilmək və onlara riayət etmək;MS Office proqramlarını (Word, Excel, Power Point), xüsusilə Exceli yüksək səviyyədə bilmək;Analitik düşünmə, təhlil etmə qabiliyyəti.İş barədə məlumat:Əmək haqqı: 2000AZN+İş yeri : Bakı şəh, Aşıq Molla Cümə küç.Komfortlu ofis şəraiti, müasir tələblərə uyğun idarəetmə sistemi, mehriban komanda5 günlük iş qrafiki: 09.00-18.00CV-lərinizi “Daxili auditor” başlığı altında elektron poçtünvanına göndərməyiniz xahiş olunur.Qeyd: Növbəti mərhələ üçün yalnız vakansiyanın tələblərinə uyğun olan namizədlər ilə əlaqə saxlanılır.Uyğun başlıqlarAuditDaxili Auditor",https://www.offer.az/daxili-auditor-28-vakansiya-2025-60737/,24/01/2025,23/02/2025
Elektrik Mühəndisi,Xırman Firması,Bakı,Müsahibə əsasında,7 il,25 — 54,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,shahla.najafova@xirman.az,0552931339,"Tələblər:Elektrik mühəndisliyi və ya əlaqəli texniki sahədə ali təhsil.Müvafiq sahədə minimum 5-10 il iş təcrübəsi.İstehsalat sahəsində minimum 5 il iş təcrübəsi (süd və ya un istehsalı sahəsində təcrübə üstünlükdür).Texniki Biliklər və Bacarıqlar:Soyuducu kompressor sistemləri ilə iş təcrübəsi və texniki biliklər.Pnevmatik sistemlərin quruluşu və iş prinsiplərini anlamaq.PLC sistemlərinin proqramlaşdırılması.Elektrik sxemlərinin oxunması və yaradılması bacarığı.Avadanlıqların nasazlıqlarını diaqnostika etmək və aradan qaldırmaq.Aşağı və yüksək gərginlikli elektrik qurğuları ilə işləmə bacarığı.Vəzifə öhdəlikləri:Müəssisədə elektrik avadanlıqlarının daim işlək vəziyyətdə olmasını təmin etmək.PLC sistemlərini proqramlaşdırmaq, sazlamaq və istismar etmək.Soyuducu kompressor və pnevmatik sistemlərin düzgün işləməsini təmin etmək.Elektrik nasazlıqlarını tez və effektiv şəkildə müəyyənləşdirib aradan qaldırmaq.Yeni avadanlıqların quraşdırılmasını və işə salınmasını həyata keçirmək.Texniki sənədləşdirmə və hesabatların hazırlanması.İstehsalat proseslərində enerjidən səmərəli istifadəni təmin etmək.Şərtlər:Əmək haqqı: Müsahibə əsasında müəyyən ediləcək;İş yeri: Binəqədi yolu 100İş qrafiki: Həftəiçi 6 günMüraciət qaydası:CV-lərinizi “Elektrik Mühəndisi”vakansiyanın adını qeyd edərək email ünvanına göndərə bilərsiniz.Əlaqə0552931339Uyğun başlıqlarElektrik",https://www.offer.az/elektrik-muhendisi-16-vakansiya-2025-60736/,24/01/2025,24/02/2025
İngilis dili müəllimi,Flag Academy,Bakı,Müsahibə əsasında,2 il,22 — 35,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,flagacademy2021@gmail.com,051-613-17-29,"Namizədə tələblər:Ali təhsilli olmalıdırİngilis dilini yüksək səviyyədə bilməlidirSertifikatlara malik olan müəllimlərə üstünlük verilir (IELTS, SAT, TOEFL, TKT və s.)Pozitiv, təhsil işini sevən olmalıdırİş barədə məlumat:İş qrafiki: İş qrafiki: 11:00-dan 19:00-dək; 13:00-dan 21:00-dəkMüxtəlif yaş qruplarına ingilis dilinin tədrisiQrup və fərdi qaydada tədris etməMaraqlanan şəxslər, CV-lərini “Ingilis dili müəlliməsi” başlığı ilə elektron poçt ünvanına göndərə bilər.Whatsapp: (051) 613 17 29Uyğun başlıqlarİngilis diliTəhsil",https://www.offer.az/ingilis-dili-muellimi-45-vakansiya-2025-60735/,24/01/2025,24/02/2025
